ODDS1,ODDS2,ODDS3,win,place,placeodd,rank,Band,PChange,,,,,,,%
23,27,18,110,116,5.3,9,0,-33%,,,,,,,
14,13,14,143,162,3.8,10,0,8%,,,,,,,
99,99,99,8,13,47,11,0,0%,,,,,,,
22,19,15,136,132,4.7,12,0,-21%,,,,,,,
49,58,82,25,34,17,13,0,41%,,,,,,,
25,28,28,72,89,7,14,0,0%,,,,,,,
5.3,4,5.6,376,293,2.3,1,1,40%,,,,,,,
11,9.7,7.6,280,282,2.4,2,1,-22%,,,,,,,
12,20,17,118,141,4.8,3,1,-15%,,,,,,,
6.6,5.5,5.9,362,345,2,4,0,7%,,,,,,,
5.4,6.7,7.9,268,245,2.8,5,0,18%,,,,,,,
11,16,14,147,162,4.2,6,0,-13%,,,,,,,
8.2,5.5,4,528,393,1.7,7,0,-27%,,,,,,,
44,64,79,26,38,17,8,0,23%,,,,,,,
29,29,13,152,181,3.7,9,0,-55%,,,,,,,
13,18,20,103,130,5.2,10,0,11%,,,,,,,
9.7,11,16,131,163,4.2,11,0,45%,,,,,,,
23,37,46,45,54,12,12,0,24%,,,,,,,
56,99,99,16,26,26,13,0,0%,,,,,,,
65,80,95,22,31,21,14,0,19%,,,,,,,
7.7,6.6,8.3,291,279,2.1,1,1,26%,,,,,,,
2.8,1.9,2.2,1112,568,1,2,1,16%,,,,,,,
26,17,15,158,169,3.5,3,1,-12%,,,,,,,
16,30,41,59,70,8.5,4,0,37%,,,,,,,
26,78,99,23,32,18,5,0,27%,,,,,,,
65,99,99,13,19,30,6,0,0%,,,,,,,
16,17,13,176,188,3.1,7,0,-24%,,,,,,,
15,17,9.8,245,232,2.5,8,0,-42%,,,,,,,
3,3.9,3.1,762,455,1.3,9,0,-21%,,,,,,,
30,51,77,31,53,11,10,0,51%,,,,,,,
67,99,99,10,14,41,11,0,0%,,,,,,,
32,99,99,8,13,43,12,0,0%,,,,,,,
31,54,80,30,52,11,13,0,48%,,,,,,,
99,99,99,10,17,34,14,0,0%,,,,,,,
4.8,4.7,4.7,515,325,1.4,1,1,0%,,,,,,,
2,1.8,1.9,1287,475,1,2,1,6%,,,,,,,
7.6,24,25,96,106,4.5,3,1,4%,,,,,,,
8,5.6,5,488,330,1.4,4,0,-11%,,,,,,,
12,19,16,148,139,3.4,5,0,-16%,,,,,,,
24,34,44,54,78,6.1,6,0,29%,,,,,,,
51,58,96,25,31,15,7,0,66%,,,,,,,
10,8,7.3,335,239,2,8,0,-9%,,,,,,,
59,99,99,10,14,34,9,0,0%,,,,,,,
16,20,29,90,117,6.2,1,1,45%,,,,,,,
5,4.7,6.4,410,351,2.1,2,1,36%,,,,,,,
13,20,10,255,205,3.5,3,1,-50%,,,,,,,
11,17,12,204,206,3.5,4,0,-29%,,,,,,,
7.3,9.1,7.8,336,256,2.8,5,0,-14%,,,,,,,
16,27,21,121,120,6,6,0,-22%,,,,,,,
10,6.5,8,329,310,2.3,7,0,23%,,,,,,,
6.2,5.5,5.9,447,406,1.8,8,0,7%,,,,,,,
4.3,3.4,3.1,837,454,1.6,9,0,-9%,,,,,,,
24,22,22,120,149,4.9,10,0,0%,,,,,,,
25,53,66,39,49,14,11,0,25%,,,,,,,
45,88,99,21,24,30,12,0,13%,,,,,,,
11,13,13,205,214,2.6,1,1,0%,,,,,,,
8.5,11,10,265,265,2.1,2,1,-9%,,,,,,,
22,31,25,107,116,4.9,3,1,-19%,,,,,,,
8.6,6.3,5.4,496,348,1.6,4,0,-14%,,,,,,,
16,17,16,168,161,3.5,5,0,-6%,,,,,,,
38,31,31,86,111,5.1,6,0,0%,,,,,,,
25,13,20,132,124,4.6,7,0,54%,,,,,,,
2,1.6,1.6,1620,491,1.1,8,0,0%,,,,,,,
60,99,99,15,32,17,9,0,0%,,,,,,,
22,30,42,64,76,7.4,10,0,40%,,,,,,,
15,25,28,95,107,5.3,11,0,12%,,,,,,,
11,92,99,18,28,20,12,0,8%,,,,,,,
10,5.7,3.5,915,561,1.4,1,1,-39%,,,,,,,
12,8.4,9.3,341,271,2.9,2,1,11%,,,,,,,
15,9.6,11,268,221,3.6,3,1,15%,,,,,,,
3.4,7.8,6.9,459,384,2,4,0,-12%,,,,,,,
6.2,4.1,4.5,711,438,1.8,5,0,10%,,,,,,,
31,28,34,92,115,6.9,6,0,21%,,,,,,,
49,46,57,55,71,11,7,0,24%,,,,,,,
18,24,31,102,117,6.7,8,0,29%,,,,,,,
8.1,50,54,58,56,14,9,0,8%,,,,,,,
7.8,6.2,6.3,502,382,2.1,10,0,2%,,,,,,,
66,99,99,11,15,51,11,0,0%,,,,,,,
88,99,99,16,21,37,12,0,0%,,,,,,,
85,99,99,18,22,35,13,0,0%,,,,,,,
8.6,6.7,9.9,323,213,3.7,14,0,48%,,,,,,,
2.4,2.4,2.9,595,288,1.4,1,1,21%,,,,,,,
3.6,4.3,3,574,319,1.2,2,1,-30%,,,,,,,
4.8,3.5,4.2,415,264,1.5,3,1,20%,,,,,,,
32,31,17,102,109,3.6,4,0,-45%,,,,,,,
31,34,53,32,50,7.9,5,0,56%,,,,,,,
25,29,21,82,88,4.5,6,0,-28%,,,,,,,
11,14,17,98,121,3.2,7,0,21%,,,,,,,
32,39,39,44,51,7.8,8,0,0%,,,,,,,
13,12,11,157,120,3.3,9,0,-8%,,,,,,,
56,92,75,23,31,12,10,0,-18%,,,,,,,
5.1,6.9,3.8,468,281,1.5,1,1,-45%,,,,,,,
2.4,1.6,2,894,366,1.2,2,1,25%,,,,,,,
6.1,9.8,8.9,200,231,1.8,3,1,-9%,,,,,,,
11,7.7,7.9,227,201,2.1,4,0,3%,,,,,,,
11,14,11,158,181,2.4,5,0,-21%,,,,,,,
27,41,40,44,65,6.6,6,0,-2%,,,,,,,
7.4,11,12,138,175,2.4,7,0,9%,,,,,,,
27,63,88,20,32,13,8,0,40%,,,,,,,
26,64,79,22,32,13,9,0,23%,,,,,,,
8.5,9.6,6.5,356,254,2.2,1,1,-32%,,,,,,,
16,35,30,76,76,7.5,2,1,-14%,,,,,,,
27,41,46,50,57,10,3,1,12%,,,,,,,
7.8,8.1,5.5,425,311,1.8,4,0,-32%,,,,,,,
3.8,2.7,3.3,695,372,1.5,5,0,22%,,,,,,,
27,35,16,142,137,4.2,6,0,-54%,,,,,,,
67,99,99,11,17,33,7,0,0%,,,,,,,
17,21,12,193,176,3.2,8,0,-43%,,,,,,,
40,52,82,28,30,18,9,0,58%,,,,,,,
4,3.3,4.2,555,337,1.7,10,0,27%,,,,,,,
18,29,44,52,56,10,11,0,52%,,,,,,,
10,13,17,131,146,3.9,12,0,31%,,,,,,,
41,50,74,31,35,16,13,0,48%,,,,,,,
16,31,31,74,87,6.6,14,0,0%,,,,,,,
3.6,3.6,3.4,580,307,1.5,1,1,-6%,,,,,,,
5.4,3.8,4.8,409,234,2,2,1,26%,,,,,,,
14,13,16,115,121,4,3,1,23%,,,,,,,
9.4,14,18,103,109,4.4,4,0,29%,,,,,,,
31,41,45,42,53,8.9,5,0,10%,,,,,,,
10,11,9.5,206,144,3.3,6,0,-14%,,,,,,,
18,18,15,127,112,4.3,7,0,-17%,,,,,,,
18,20,14,139,128,3.7,8,0,-30%,,,,,,,
5.6,4.8,5.2,372,282,1.7,9,0,8%,,,,,,,
68,99,99,8,15,30,10,0,0%,,,,,,,
49,88,99,15,22,21,11,0,13%,,,,,,,
8.2,10,7.6,256,224,2.1,12,0,-24%,,,,,,,
0,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
8.5,14,11,226,217,3.2,1,1,-21%,,,,,,,
7.6,5.9,3.6,681,428,1.6,2,1,-39%,,,,,,,
5.6,2.8,3.4,737,441,1.6,3,1,21%,,,,,,,
18,16,16,155,163,4.3,4,0,0%,,,,,,,
8.4,13,10,240,242,2.9,5,0,-23%,,,,,,,
8.7,10,11,212,236,2.9,6,0,10%,,,,,,,
5.1,5,6.4,386,386,1.8,7,0,28%,,,,,,,
7,13,13,190,192,3.6,8,0,0%,,,,,,,
11,14,21,114,136,5.1,9,0,50%,,,,,,,
99,99,99,8,12,57,10,0,0%,,,,,,,
52,99,99,23,30,22,11,0,0%,,,,,,,
24,35,50,49,71,9.8,12,0,43%,,,,,,,
5.6,6.6,5.2,427,341,1.9,1,1,-21%,,,,,,,
10,7.7,7,315,273,2.4,2,1,-9%,,,,,,,
7.4,4.8,5.8,381,306,2.1,3,1,21%,,,,,,,
12,14,14,158,172,3.8,4,0,0%,,,,,,,
17,23,13,160,165,3.9,5,0,-43%,,,,,,,
10,15,19,117,126,5.1,6,0,27%,,,,,,,
5,4.6,5.9,373,321,2,7,0,28%,,,,,,,
21,33,47,47,62,10,8,0,42%,,,,,,,
46,56,60,36,47,13,9,0,7%,,,,,,,
27,34,47,46,67,9.7,10,0,38%,,,,,,,
82,99,99,7,8,76,11,0,0%,,,,,,,
20,44,65,33,38,16,12,0,48%,,,,,,,
48,99,99,8,10,61,13,0,0%,,,,,,,
5.7,4.5,3.8,585,440,1.5,14,0,-16%,,,,,,,
4.4,2.9,3.2,858,551,1,1,1,10%,,,,,,,
39,47,45,60,72,7.9,2,1,-4%,,,,,,,
27,33,31,89,100,5.7,3,1,-6%,,,,,,,
16,33,49,56,72,7.8,4,0,48%,,,,,,,
10,15,12,218,188,3,5,0,-20%,,,,,,,
8.8,8.2,10,276,280,2,6,0,22%,,,,,,,
2.4,2.5,1.9,1413,419,1.3,7,0,-24%,,,,,,,
54,99,99,10,14,40,8,0,0%,,,,,,,
51,89,79,35,41,13,9,0,-11%,,,,,,,
6.8,6.1,9.7,285,248,2.3,10,0,59%,,,,,,,
26,49,52,52,63,9,11,0,6%,,,,,,,
52,83,99,22,30,18,12,0,19%,,,,,,,
12,12,13,216,235,3.1,1,1,8%,,,,,,,
5.8,6.1,6.4,462,376,1.9,2,1,5%,,,,,,,
8.4,5.8,4.3,685,472,1.5,3,1,-26%,,,,,,,
27,32,28,104,126,5.8,4,0,-13%,,,,,,,
2.6,2,2.2,1307,535,1.4,5,0,10%,,,,,,,
17,12,8.8,336,327,2.2,6,0,-27%,,,,,,,
21,25,31,93,131,5.6,7,0,24%,,,,,,,
26,50,67,43,52,14,8,0,34%,,,,,,,
21,35,34,87,115,6.3,9,0,-3%,,,,,,,
9.6,25,32,92,126,5.8,10,0,28%,,,,,,,
9.9,20,21,138,143,5.1,11,0,5%,,,,,,,
39,81,99,26,37,19,12,0,22%,,,,,,,
4.4,2.2,3,1165,576,1.4,1,1,36%,,,,,,,
18,21,22,154,174,4.5,2,1,5%,,,,,,,
4.3,4,2.8,1231,615,1.3,3,1,-30%,,,,,,,
22,20,19,173,183,4.3,4,0,-5%,,,,,,,
12,21,18,188,171,4.6,5,0,-14%,,,,,,,
14,10,10,331,300,2.6,6,0,0%,,,,,,,
59,99,99,13,18,41,7,0,0%,,,,,,,
14,11,16,216,188,4.2,8,0,45%,,,,,,,
19,21,25,134,142,5.6,9,0,19%,,,,,,,
14,12,9.4,369,321,2.4,10,0,-22%,,,,,,,
18,17,15,227,198,4,11,0,-12%,,,,,,,
4.2,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
8.2,6.9,5.8,530,326,2.4,1,1,-16%,,,,,,,
18,25,32,95,111,7.1,2,1,28%,,,,,,,
16,34,38,79,86,9.2,3,1,12%,,,,,,,
4.4,3.3,3.6,857,499,1.6,4,0,9%,,,,,,,
28,31,20,148,143,5.6,5,0,-35%,,,,,,,
10,7.8,10,287,254,3.1,6,0,28%,,,,,,,
4.8,5.3,5.7,537,377,2.1,7,0,8%,,,,,,,
9.2,6.2,4.9,622,491,1.6,8,0,-21%,,,,,,,
13,15,17,176,205,3.9,9,0,13%,,,,,,,
39,36,20,149,149,5.3,10,0,-44%,,,,,,,
16,58,90,33,34,22,11,0,55%,,,,,,,
25,38,57,53,62,12,12,0,50%,,,,,,,
40,74,97,31,37,21,13,0,31%,,,,,,,
12,22,25,119,122,6.5,14,0,14%,,,,,,,
5.8,6.2,5,388,298,1.6,1,1,-19%,,,,,,,
9.8,10,8.9,220,237,2.1,2,1,-11%,,,,,,,
12,17,21,90,95,5.2,3,1,24%,,,,,,,
4.8,4.1,4,493,323,1.5,4,0,-2%,,,,,,,
11,9.8,9.7,202,188,2.6,5,0,-1%,,,,,,,
18,25,27,70,78,6.3,6,0,8%,,,,,,,
3.4,2.7,2.9,668,335,1.5,7,0,7%,,,,,,,
9,16,21,92,104,4.7,8,0,31%,,,,,,,
9.8,11,12,153,147,3.3,9,0,9%,,,,,,,
9.8,12,15,139,149,4,1,1,25%,,,,,,,
5.2,4.4,4.7,455,336,1.8,2,1,7%,,,,,,,
4.4,4.5,5.2,410,361,1.7,3,1,16%,,,,,,,
6.6,4.1,2.7,795,486,1.2,4,0,-34%,,,,,,,
36,60,72,29,39,15,5,0,20%,,,,,,,
8.3,12,14,150,208,2.9,6,0,17%,,,,,,,
10,17,15,137,145,4.2,7,0,-12%,,,,,,,
6.3,6.8,7.7,280,263,2.3,8,0,13%,,,,,,,
27,57,86,24,38,15,9,0,51%,,,,,,,
10,8.6,11,191,180,3.3,10,0,28%,,,,,,,
84,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
8.2,7.8,6.9,343,278,2.5,1,1,-12%,,,,,,,
12,9.6,6.3,374,355,2,2,1,-34%,,,,,,,
5.2,3.3,3.3,719,439,1.6,3,1,0%,,,,,,,
7.8,12,13,175,191,3.6,4,0,8%,,,,,,,
7.2,7.9,6.5,367,287,2.4,5,0,-18%,,,,,,,
13,15,18,126,130,5.3,6,0,20%,,,,,,,
15,26,29,80,100,7,7,0,12%,,,,,,,
30,43,47,50,64,10,8,0,9%,,,,,,,
9.9,16,20,119,141,5,9,0,25%,,,,,,,
11,10,12,188,197,3.5,10,0,20%,,,,,,,
6.3,6.1,8,299,306,2.3,11,0,31%,,,,,,,
36,41,47,49,64,10,12,0,15%,,,,,,,
3.4,2.5,3,810,358,1.4,1,1,20%,,,,,,,
13,29,35,68,82,6.2,2,1,21%,,,,,,,
5.4,4.9,4.3,566,359,1.4,3,1,-12%,,,,,,,
21,22,13,181,154,3.3,4,0,-41%,,,,,,,
4,4.1,3.1,794,404,1.3,5,0,-24%,,,,,,,
11,19,20,120,110,4.6,6,0,5%,,,,,,,
6.2,5.7,8.2,299,245,2.1,7,0,44%,,,,,,,
16,25,31,77,94,5.5,8,0,24%,,,,,,,
19,29,40,60,72,7.1,9,0,38%,,,,,,,
48,54,65,32,41,14,1,1,20%,,,,,,,
2.4,1.8,2,1050,571,1,2,1,11%,,,,,,,
16,12,7.7,272,275,2.1,3,1,-36%,,,,,,,
20,16,17,119,146,4,4,0,6%,,,,,,,
25,43,56,37,47,12,5,0,30%,,,,,,,
5.7,5.7,5.4,389,357,1.6,6,0,-5%,,,,,,,
23,24,14,149,147,4,7,0,-42%,,,,,,,
8.2,14,14,144,141,4.2,8,0,0%,,,,,,,
18,17,20,103,117,5,9,0,18%,,,,,,,
17,65,92,22,30,19,10,0,42%,,,,,,,
16,23,20,103,112,5.2,11,0,-13%,,,,,,,
8.4,14,17,117,176,3.4,12,0,21%,,,,,,,
8.6,18,13,175,178,3.8,1,1,-28%,,,,,,,
20,14,20,115,113,5.9,2,1,43%,,,,,,,
6.5,6.4,4.5,541,361,1.9,3,1,-30%,,,,,,,
5.7,4.8,5.4,445,385,1.7,4,0,13%,,,,,,,
7,7.2,4.7,512,427,1.6,5,0,-35%,,,,,,,
15,16,17,140,148,4.6,6,0,6%,,,,,,,
4.6,4,5.7,422,306,2.2,7,0,43%,,,,,,,
10,8.7,8.8,274,223,3,8,0,1%,,,,,,,
28,29,29,82,93,7.3,9,0,0%,,,,,,,
56,45,64,37,34,19,10,0,42%,,,,,,,
13,11,16,148,131,5.1,11,0,45%,,,,,,,
14,39,52,46,70,9.6,12,0,33%,,,,,,,
3.8,4.3,4.5,684,450,1.7,1,1,5%,,,,,,,
7.6,5.9,8.1,379,275,2.8,2,1,37%,,,,,,,
3.5,3.1,3.2,956,562,1.4,3,1,3%,,,,,,,
15,14,19,158,184,4.2,4,0,36%,,,,,,,
11,9.5,9.7,316,275,2.8,5,0,2%,,,,,,,
14,19,18,169,170,4.6,6,0,-5%,,,,,,,
15,14,8.5,359,269,2.9,7,0,-39%,,,,,,,
31,53,80,38,54,14,8,0,51%,,,,,,,
18,22,20,147,157,5,9,0,-9%,,,,,,,
20,56,79,38,49,15,10,0,41%,,,,,,,
16,11,7.6,402,318,2.4,11,0,-31%,,,,,,,
22,29,38,80,91,8.5,12,0,31%,,,,,,,
3.2,2.6,2.3,1439,599,1.3,1,1,-12%,,,,,,,
9.1,14,14,230,211,3.7,2,1,0%,,,,,,,
6,4.2,5.5,602,432,1.8,3,1,31%,,,,,,,
8.4,9.1,9.7,342,316,2.5,4,0,7%,,,,,,,
14,12,13,248,233,3.4,5,0,8%,,,,,,,
15,18,25,129,139,5.7,6,0,39%,,,,,,,
13,22,32,101,123,6.4,7,0,45%,,,,,,,
21,38,53,62,76,10,8,0,39%,,,,,,,
7.6,8.4,5.8,567,416,1.9,9,0,-31%,,,,,,,
27,24,17,191,216,3.6,10,0,-29%,,,,,,,
26,47,70,46,52,15,11,0,49%,,,,,,,
21,34,46,71,74,10,12,0,35%,,,,,,,
2.2,1.9,2,823,418,1.1,1,1,5%,,,,,,,
5.2,6,5.8,277,266,1.7,2,1,-3%,,,,,,,
11,9.4,10,159,187,2.4,3,1,6%,,,,,,,
10,11,12,130,146,3.1,4,0,9%,,,,,,,
13,16,13,123,116,3.8,5,0,-19%,,,,,,,
16,29,33,48,73,6.1,6,0,14%,,,,,,,
11,13,14,113,129,3.4,7,0,8%,,,,,,,
6,6,5.5,293,296,1.5,8,0,-8%,,,,,,,
1.8,1.9,2,756,388,1,1,1,5%,,,,,,,
4.7,3.1,3.7,396,296,1.3,2,1,19%,,,,,,,
21,13,8.4,177,194,2.1,3,1,-35%,,,,,,,
13,27,21,70,70,5.7,4,0,-22%,,,,,,,
11,14,16,92,122,3.3,5,0,14%,,,,,,,
14,14,15,97,136,2.9,6,0,7%,,,,,,,
23,40,44,33,63,6.3,7,0,10%,,,,,,,
32,42,48,30,39,10,8,0,14%,,,,,,,
10,11,9.5,157,159,2.5,9,0,-14%,,,,,,,
6.2,5.2,3.3,693,345,1.4,1,1,-37%,,,,,,,
3.4,4.4,4,567,317,1.5,2,1,-9%,,,,,,,
2.9,2,2.8,796,360,1.4,3,1,40%,,,,,,,
8.8,12,12,183,211,2.3,4,0,0%,,,,,,,
26,29,23,95,104,4.7,5,0,-21%,,,,,,,
43,44,54,42,63,7.8,6,0,23%,,,,,,,
23,51,62,36,45,10,7,0,22%,,,,,,,
21,34,44,51,64,7.7,8,0,29%,,,,,,,
35,83,99,23,29,16,9,0,19%,,,,,,,
22,30,42,54,72,6.9,10,0,40%,,,,,,,
47,99,99,15,20,24,11,0,0%,,,,,,,
19,16,10,208,171,2.9,12,0,-38%,,,,,,,
6.2,5.8,5.6,364,313,2.1,1,1,-3%,,,,,,,
10,8.1,6,341,344,1.9,2,1,-26%,,,,,,,
16,15,13,158,197,3.3,3,1,-13%,,,,,,,
5.8,6.7,8.4,244,246,2.6,4,0,25%,,,,,,,
22,31,39,52,77,8.5,5,0,26%,,,,,,,
6.2,4.3,4.2,494,348,1.9,6,0,-2%,,,,,,,
7.8,6.3,5.3,386,387,1.7,7,0,-16%,,,,,,,
14,29,37,54,60,10,8,0,28%,,,,,,,
44,83,99,14,19,34,9,0,19%,,,,,,,
15,22,26,77,96,6.8,10,0,18%,,,,,,,
9,8.1,9.6,215,180,3.6,11,0,19%,,,,,,,
13,25,35,58,70,9.3,12,0,40%,,,,,,,
48,96,99,17,26,24,13,0,3%,,,,,,,
40,57,85,24,29,22,14,0,49%,,,,,,,
5.6,7.1,8,308,278,2,1,1,13%,,,,,,,
3,1.7,1.8,1328,495,1.1,2,1,6%,,,,,,,
4.6,7.1,4.7,521,382,1.4,3,1,-34%,,,,,,,
31,30,34,70,88,6.3,4,0,13%,,,,,,,
3.7,5.3,5.6,438,352,1.6,5,0,6%,,,,,,,
22,28,15,162,206,2.7,6,0,-46%,,,,,,,
39,62,81,30,41,13,7,0,31%,,,,,,,
30,44,44,56,79,7,8,0,0%,,,,,,,
19,34,44,55,72,7.7,9,0,29%,,,,,,,
39,86,99,22,35,15,10,0,15%,,,,,,,
3.4,2.6,2.7,1025,429,1.6,1,1,4%,,,,,,,
11,12,9,312,251,2.7,2,1,-25%,,,,,,,
6,6.4,6.9,406,325,2.1,3,1,8%,,,,,,,
16,23,23,121,130,5.3,4,0,0%,,,,,,,
22,16,15,177,185,3.7,5,0,-6%,,,,,,,
64,99,99,17,23,30,6,0,0%,,,,,,,
7.4,6.1,7.3,383,310,2.2,7,0,20%,,,,,,,
3.8,5,5.5,512,377,1.8,8,0,10%,,,,,,,
39,23,20,137,141,4.8,9,0,-13%,,,,,,,
14,15,10,258,271,2.5,10,0,-33%,,,,,,,
63,99,99,14,17,38,11,0,0%,,,,,,,
31,54,72,38,47,14,12,0,33%,,,,,,,
0,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
10,15,11,253,202,3.3,1,1,-27%,,,,,,,
8.2,7.8,11,239,205,3.2,2,1,41%,,,,,,,
16,24,13,213,208,3.2,3,1,-46%,,,,,,,
5.2,3.3,3.4,824,512,1.3,4,0,3%,,,,,,,
4.4,3.1,2.6,1048,456,1.4,5,0,-16%,,,,,,,
15,18,17,160,178,3.7,5,0,-6%,,,,,,,
20,41,58,47,63,10,7,0,41%,,,,,,,
27,31,31,89,97,6.8,8,0,0%,,,,,,,
26,36,41,67,81,8.2,9,0,14%,,,,,,,
25,44,61,45,49,13,10,0,39%,,,,,,,
8.4,6.8,10,277,227,2.9,11,0,47%,,,,,,,
16,24,29,96,121,5.5,12,0,21%,,,,,,,
28,94,99,20,25,25,13,0,5%,,,,,,,
14,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
3,1.7,1.6,1570,601,1,1,1,-6%,,,,,,,
13,15,15,164,183,3.3,2,1,0%,,,,,,,
5.2,5.6,7.2,345,315,1.9,3,1,29%,,,,,,,
20,22,28,86,120,5,4,0,27%,,,,,,,
6.6,9.2,7.9,314,327,1.8,5,0,-14%,,,,,,,
8.4,10,8.4,298,293,2,5,0,-16%,,,,,,,
16,23,24,103,139,4.3,7,0,4%,,,,,,,
34,82,89,28,35,16,8,0,9%,,,,,,,
28,47,71,34,47,12,9,0,51%,,,,,,,
33,51,74,33,46,13,10,0,45%,,,,,,,
22,32,43,57,77,7.7,11,0,34%,,,,,,,
10,0,0,0,0,0,?h?X,0,#DIV/0!,,,,,,,
19,23,30,85,94,8.3,1,1,30%,,,,,,,
6.9,3.7,3.1,841,570,1.4,2,1,-16%,,,,,,,
5.8,10,9.7,272,277,2.8,3,1,-3%,,,,,,,
10,17,15,171,182,4.3,4,0,-12%,,,,,,,
12,18,24,109,140,5.6,5,0,33%,,,,,,,
50,99,99,11,14,56,6,0,0%,,,,,,,
5.2,5.1,6.9,380,353,2.2,7,0,35%,,,,,,,
35,99,99,14,22,34,8,0,0%,,,,,,,
6.4,5.1,6.6,401,394,2,9,0,29%,,,,,,,
7.1,6.2,4.4,596,479,1.6,10,0,-29%,,,,,,,
29,25,21,121,145,5.4,11,0,-16%,,,,,,,
10,11,13,197,196,4,12,0,18%,,,,,,,
3,2,2,1776,755,1.1,1,1,0%,,,,,,,
33,41,56,62,75,11,2,1,37%,,,,,,,
12,18,14,250,227,3.7,2,1,-22%,,,,,,,
11,10,5.2,669,487,1.7,4,0,-48%,,,,,,,
50,59,90,38,48,17,5,0,53%,,,,,,,
6.2,9.2,10,324,361,2.3,6,0,9%,,,,,,,
15,11,12,274,226,3.7,7,0,9%,,,,,,,
27,44,70,50,75,11,8,0,59%,,,,,,,
18,25,30,115,123,6.8,9,0,20%,,,,,,,
6.6,6.8,8.4,417,348,2.4,10,0,24%,,,,,,,
9.4,26,35,98,99,8.5,11,0,35%,,,,,,,
48,91,99,23,36,23,12,0,9%,,,,,,,
17,16,23,153,180,4.7,13,0,44%,,,,,,,
52,90,99,22,29,28,14,0,10%,,,,,,,
28,37,37,45,57,8.8,1,1,0%,,,,,,,
5.9,6.7,5.8,295,296,1.7,2,1,-13%,,,,,,,
11,15,15,112,123,4.1,3,1,0%,,,,,,,
7.2,6.1,5.8,292,290,1.7,4,0,-5%,,,,,,,
20,18,10,167,172,2.9,5,0,-44%,,,,,,,
65,81,99,17,24,21,6,0,22%,,,,,,,
3.1,3.8,4.2,401,333,1.5,7,0,11%,,,,,,,
41,49,47,35,49,10,8,0,-4%,,,,,,,
4.4,2.8,3.1,541,327,1.5,9,0,11%,,,,,,,
11,13,15,109,129,3.9,10,0,15%,,,,,,,
29,46,47,35,42,12,11,0,2%,,,,,,,
58,99,99,12,15,33,12,0,0%,,,,,,,
5.3,4.6,5.4,472,398,1.7,1,1,17%,,,,,,,
4,4.2,2.8,894,524,1.3,2,1,-33%,,,,,,,
11,11,10,247,232,2.9,3,1,-9%,,,,,,,
10,13,15,168,213,3.2,4,0,15%,,,,,,,
3.4,3.2,3.7,678,475,1.4,5,0,16%,,,,,,,
8.6,13,16,157,149,4.6,6,0,23%,,,,,,,
39,43,57,44,55,12,7,0,33%,,,,,,,
94,83,99,23,32,21,8,0,19%,,,,,,,
